time_of_day,day_of_week,vehicle_count,weather,road_type,traffic_level
6,3,121,0,2,Medium
6,1,90,2,2,Low
23,4,29,3,2,Low
23,3,51,1,1,Low
0,3,52,1,1,Low
9,3,189,3,2,High
18,3,168,2,0,Medium
18,6,120,0,0,Medium
3,0,9,3,1,Low
20,1,155,3,2,Medium
11,4,50,3,2,Low
16,3,76,1,1,Medium
3,5,22,0,2,Low
11,1,73,1,1,Low
15,6,137,3,1,High
20,4,240,1,2,High
12,0,139,0,2,Medium
6,0,41,3,0,Low
10,2,221,0,2,High
4,1,7,2,1,Low
8,3,224,1,0,High
23,4,47,2,1,Low
2,4,5,2,1,Low
4,1,27,2,2,Low
8,6,94,2,1,Medium
18,6,104,3,2,Medium
3,5,36,0,2,Low
3,4,20,3,2,Low
1,1,12,0,1,Low
11,3,66,3,1,Low
22,3,123,0,2,Medium
0,0,28,2,1,Low
2,6,24,1,2,Low
0,2,42,1,2,Low
23,0,104,3,0,Medium
19,3,168,1,2,Medium
16,4,136,0,0,Medium
1,1,29,3,1,Low
0,0,22,2,1,Low
5,6,5,3,2,Low
5,4,5,3,1,Low
10,6,93,3,0,Low
15,4,66,2,2,Low
2,6,44,2,2,Low
6,1,47,3,0,Low
17,6,116,2,1,Medium
6,3,102,3,1,Medium
1,0,5,3,1,Low
4,2,24,2,0,Low
15,2,58,3,1,Low
19,2,287,0,1,High
2,5,32,0,2,Low
17,5,152,1,1,High
15,4,129,0,0,Medium
13,4,121,3,2,Medium
0,3,17,2,2,Low
13,5,152,1,1,High
1,4,53,1,0,Low
0,4,5,3,0,Low
2,0,26,3,0,Low
13,4,154,1,2,Medium
16,5,156,0,2,Medium
19,6,118,0,0,Medium
0,2,36,3,1,Low
21,1,87,2,1,Medium
14,5,135,2,1,High
1,1,30,0,0,Low
21,6,124,0,1,Medium
17,0,155,3,0,Medium
3,4,28,3,0,Low
15,5,112,3,2,Medium
1,1,17,3,2,Low
21,1,119,1,1,Medium
5,6,48,1,2,Low
7,4,175,3,0,High
5,4,41,3,1,Low
19,4,212,1,1,High
16,6,118,2,1,Medium
4,1,10,0,1,Low
11,4,76,0,1,Medium
1,5,5,1,0,Low
6,6,142,0,1,High
15,2,114,0,1,Medium
13,3,160,0,2,Medium
11,1,103,1,0,Medium
0,5,11,1,0,Low
21,4,79,3,1,Medium
9,1,200,2,1,High
23,4,79,0,2,Low
19,3,229,1,2,High
18,2,261,0,2,High
7,1,143,2,0,Medium
13,1,151,0,2,Medium
16,1,40,3,0,Low
1,2,32,0,2,Low
12,2,150,0,0,Medium
9,4,237,0,2,High
15,3,75,1,0,Low
4,3,14,0,2,Low
2,0,46,1,0,Low
21,4,94,2,2,Low
11,4,113,0,2,Medium
6,3,99,1,2,Low
14,4,130,0,2,Medium
19,2,202,0,0,High
6,4,125,0,1,Medium
13,6,151,1,0,Medium
